data,EUR,GBP,USD
2025-04-27,6.4549,7.5658,5.687
2025-04-26,6.4877,7.5756,5.6904
2025-04-25,6.4899,7.5762,5.6904
2025-04-24,6.4591,7.5692,5.6802
2025-04-23,6.4618,7.567,5.7049
2025-04-22,6.4943,7.5936,5.7214
2025-04-21,6.6865,7.7707,5.8086
2025-04-20,6.6053,7.7049,5.8082
2025-04-19,6.6053,7.7049,5.8082
2025-04-18,6.6053,7.7049,5.8082
2025-04-17,6.6053,7.7049,5.8082
2025-04-16,6.686,7.764,5.8669
2025-04-15,6.6468,7.7874,5.8861
2025-04-14,6.6399,7.7141,5.8557
2025-04-13,6.6566,7.6781,5.8678
2025-04-12,6.6597,7.6695,5.8626
2025-04-11,6.6597,7.6677,5.8626
2025-04-10,6.6259,7.6482,5.8858
2025-04-09,6.3734,7.4637,5.8196
2025-04-08,6.6043,7.693,6.0148
2025-04-07,6.4585,7.5349,5.9163
2025-04-06,6.4196,7.5453,5.8443
2025-04-05,6.4054,7.5269,5.8446
2025-04-04,6.4054,7.5302,5.8446
2025-04-03,6.2197,7.3713,5.6321
2025-04-02,6.1771,7.3913,5.6652
2025-04-01,6.1348,7.3437,5.6828
2025-03-31,6.1664,7.3645,5.6999
2025-03-30,6.2335,7.4515,5.7596
2025-03-29,6.2692,7.4556,5.7592
2025-03-28,6.2692,7.4556,5.7592
2025-03-27,6.2005,7.4351,5.7408
2025-03-26,6.1603,7.3851,5.735
2025-03-25,6.1485,7.3771,5.6999
2025-03-24,6.2251,7.4469,5.7623
2025-03-23,6.2136,7.4115,5.7346
2025-03-22,6.2377,7.4086,5.7346
2025-03-21,6.2382,7.4098,5.7351
2025-03-20,6.1614,7.3594,5.6754
2025-03-19,6.1645,7.35,5.6496
2025-03-18,6.2064,7.3756,5.6736
2025-03-17,6.2073,7.382,5.6851
2025-03-16,6.2516,7.429,5.7456
2025-03-15,6.2756,7.4363,5.7456
2025-03-14,6.2745,7.4352,5.7446
2025-03-13,6.2958,7.5153,5.7999
2025-03-12,6.3129,7.518,5.7993
2025-03-11,6.3409,7.5207,5.8101
2025-03-10,6.3455,7.5374,5.8544
2025-03-09,6.2721,7.4684,5.7879
2025-03-08,6.2721,7.4684,5.7879
2025-03-07,6.2709,7.4716,5.7868
2025-03-06,6.2182,7.4274,5.7645
2025-03-05,6.1977,7.4014,5.7416
2025-03-04,6.6304,7.9834,6.2402
2025-03-03,6.3138,7.6484,6.022
2025-03-02,6.1287,7.4176,5.8854
2025-03-01,6.1087,7.4005,5.8861
2025-02-28,6.1087,7.3996,5.8861
